NOME,PLATAFORMA,SEGUIDORES,SEGUIDORES AUTÊNTICOS
Abilio Brunini,TOTAL,756600,0.8732
Abilio Brunini,INSTAGRAM,290000,0.8732
Abilio Brunini,TIKTOK,395000,0.8732
Abilio Brunini,X,44200,0.8732
Abilio Brunini,YOUTUBE,27400,0.8732
André Fernandes,TOTAL,3822000,0.8471
André Fernandes,INSTAGRAM,1790000,0.8471
André Fernandes,TIKTOK,885000,0.8471
André Fernandes,X,532000,0.8471
André Fernandes,YOUTUBE,615000,0.8471
Antonio Carlos Rodrigues,TOTAL,396410,0.9099
Antonio Carlos Rodrigues,INSTAGRAM,39400,0.9099
Antonio Carlos Rodrigues,TIKTOK,0,0.9099
Antonio Carlos Rodrigues,X,3010,0.9099
Antonio Carlos Rodrigues,YOUTUBE,354000,0.9099
Bia Kicis,TOTAL,4653490,0.7931
Bia Kicis,INSTAGRAM,2020000,0.7931
Bia Kicis,TIKTOK,8490,0.7931
Bia Kicis,X,2380000,0.7931
Bia Kicis,YOUTUBE,245000,0.7931
Caroline De Toni,TOTAL,2016300,0.8047
Caroline De Toni,INSTAGRAM,932000,0.8047
Caroline De Toni,TIKTOK,194000,0.8047
Caroline De Toni,X,850000,0.8047
Caroline De Toni,YOUTUBE,40300,0.8047
Chris Tonietto,TOTAL,352600,0.8014
Chris Tonietto,INSTAGRAM,224000,0.8014
Chris Tonietto,TIKTOK,0,0.8014
Chris Tonietto,X,112000,0.8014
Chris Tonietto,YOUTUBE,16600,0.8014
Eduardo Bolsonaro,TOTAL,10466000,0.8517
Eduardo Bolsonaro,INSTAGRAM,5880000,0.8517
Eduardo Bolsonaro,TIKTOK,286000,0.8517
Eduardo Bolsonaro,X,2960000,0.8517
Eduardo Bolsonaro,YOUTUBE,1340000,0.8517
Gustavo Gayer,TOTAL,5016000,0.8498
Gustavo Gayer,INSTAGRAM,2050000,0.8498
Gustavo Gayer,TIKTOK,116000,0.8498
Gustavo Gayer,X,1180000,0.8498
Gustavo Gayer,YOUTUBE,1670000,0.8498
Josimar de Maranhãozinho,TOTAL,129880,0.8712
Josimar de Maranhãozinho,INSTAGRAM,119000,0.8712
Josimar de Maranhãozinho,TIKTOK,3790,0.8712
Josimar de Maranhãozinho,X,4500,0.8712
Josimar de Maranhãozinho,YOUTUBE,2590,0.8712
Nikolas Ferreira,TOTAL,23240000,0.9051
Nikolas Ferreira,INSTAGRAM,11500000,0.9051
Nikolas Ferreira,TIKTOK,5800000,0.9051
Nikolas Ferreira,X,4060000,0.9051
Nikolas Ferreira,YOUTUBE,1880000,0.9051
